Name,G,PA,AVG,OBP,SLG,wOBA,AVGA,AVGB,OBPA,OBPB,SLGA,SLGB
Melky Cabrera,14,49,0.4,0.449,0.6,0.436,0.303,0.339,0.329,0.375,0.395,0.471
Starling Marte,14,69,0.328,0.348,0.493,0.353,0.203,0.265,0.247,0.296,0.377,0.434
Gregory Polanco,12,57,0.275,0.351,0.51,0.36,0.353,0.294,0.389,0.36,0.412,0.485
Francisco Cervelli,9,33,0.192,0.344,0.231,0.279,0.175,0.179,0.241,0.269,0.238,0.236
Bryan Reynolds,14,43,0.25,0.302,0.375,0.291,0.4,0.3,0.4,0.333,0.6,0.45
Adam Frazier,15,67,0.234,0.269,0.344,0.262,0.265,0.252,0.344,0.313,0.361,0.354
Colin Moran,15,47,0.214,0.277,0.31,0.255,0.26,0.239,0.351,0.317,0.44,0.38
Cole Tucker,14,45,0.143,0.182,0.214,0.174,0.222,0.174,0.276,0.219,0.444,0.304
Elias Diaz,9,30,0.138,0.167,0.172,0.151,0.125,0.135,0.125,0.158,0.125,0.162
