"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Marcus Semien","17","80","3","16","13","0","10.0 %","7.5 %",".222",".381",".375",".438",".597",".433","178","-0.1","7.9","1.5","1.2","12533"
"Matt Olson","17","69","4","8","11","0","11.6 %","21.7 %",".300",".293",".267",".362",".567",".384","145","-0.1","3.9","-0.4","0.6","14344"
"Ramon Laureano","17","67","4","11","16","4","3.0 %","20.9 %",".258",".311",".290",".328",".548",".360","129","0.8","3.3","0.2","0.6","17128"
"Robbie Grossman","11","42","1","7","5","0","11.9 %","9.5 %",".189",".375",".351",".429",".541",".403","158","0.0","3.1","-0.1","0.4","5254"
"Matt Chapman","16","73","1","11","6","0","11.0 %","28.8 %",".141",".333",".234",".329",".375",".307","93","0.1","-0.5","1.9","0.4","16505"
"Jurickson Profar","14","56","1","6","8","1","7.1 %","17.9 %",".154",".366",".308",".357",".462",".342","117","0.2","1.4","0.1","0.3","10815"
"Mark Canha","12","43","1","9","2","0","18.6 %","16.3 %",".182",".269",".242",".395",".424",".356","126","-0.1","1.4","-0.4","0.2","11445"
"Josh Phegley","14","45","2","6","8","0","4.4 %","6.7 %",".231",".167",".205",".267",".436",".288","80","-0.5","-1.6","0.3","0.0","9308"
"Khris Davis","17","74","4","11","12","0","5.4 %","32.4 %",".203",".317",".246",".297",".449",".314","98","-0.3","-0.5","-1.9","0.0","9112"
"Stephen Piscotty","14","57","2","8","7","0","3.5 %","26.3 %",".167",".158",".148",".175",".315",".202","22","0.1","-5.6","-0.7","-0.4","13367"
